"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
18302.5974890271,2.84503862941311,0.0776910555917591,36.619899263087,1.37960023073023e-293,2.73422969728425e-289,"ERBB2"
5074.45920320164,2.05796310189935,0.057731362030534,35.6472293311025,2.60108371664222e-278,2.57754390900661e-274,"PSMD3"
1703.22861438748,2.19292401536138,0.062693975750038,34.9782254056531,4.82275764041913e-268,3.18607445584889e-264,"STARD3"
1972.65991760977,2.43337392583837,0.0708237993117821,34.3581387822208,1.06463082713079e-258,5.27497959072629e-255,"C17orf37"
1309.92715379237,2.63512534048562,0.0782687580149169,33.6676524237603,1.7202748270262e-248,6.81882535936646e-245,"GRB7"
1929.69025057627,2.29149235922564,0.0711526429273402,32.2053020794418,1.48763975159834e-227,4.91392203948792e-224,"PGAP3"
3982.23705533599,2.07221303869039,0.0660135621843736,31.3907168484981,2.70881729574343e-216,7.66943571204843e-213,"ORMDL3"
2543.44300463032,1.83703896138916,0.0598620855730316,30.6878543205445,8.26637011792706e-207,2.04788986708995e-203,"MED1"
3083.40037236751,1.41119087208661,0.0492558623981049,28.6502114343429,1.59335580790585e-180,3.5087465285429e-177,"MSL1"
244.918582960196,1.63814106501783,0.0576906202247287,28.3952756728321,2.31282711074595e-177,4.5837920507874e-174,"FBXL20"
2054.84754842925,1.48141057144196,0.0524081320657922,28.2668073264322,8.84675668967297e-176,1.59394428029662e-172,"CDK12"
2379.82540364582,1.50430448713942,0.0533254690534531,28.2098688270611,4.42524545601798e-175,7.30866164106836e-172,"MED24"
3371.2092832145,1.28752034603233,0.0496059647996212,25.9549502007097,1.59878047987063e-148,2.43740233311969e-145,"CASC3"
197.979838080384,2.32068758520465,0.0948260231028858,24.4731088499485,2.85672222345454e-132,4.04409841047467e-129,"GSDMB"
305.9908448737,1.28209335941888,0.0540111921234159,23.7375497376412,1.47742591398725e-124,1.95207361262089e-121,"LOC90110"
17.0843085965605,2.8565086022444,0.121753108773614,23.4614839080269,1.00926533617285e-121,1.25016435610061e-118,"TCAP"
1584.28113090394,1.1748939934677,0.0517830206217771,22.6887883201932,5.78083077544541e-114,6.73942853756191e-111,"WIPF2"
446.183358327297,0.95891944655455,0.0425938814042934,22.5130796945378,3.09040008784034e-112,3.40270218560598e-109,"CWC25"
1073.93798942777,0.944253218983336,0.0434636880079629,21.7251057666883,1.18811957285439e-104,1.23933377970532e-101,"MRPL45"
645.97411967683,1.71148378971544,0.0789890026603728,21.6673680141813,4.16915685704233e-104,4.1314259874861e-101,"CDC6"
2413.1277515121,0.899234986647233,0.0423008994012395,21.2580583244262,2.77668925252283e-100,2.62053353789286e-97,"PIP4K2B"
26295.5359074025,1.32371261781565,0.0642701473205689,20.5960725624789,2.9762402109539e-94,2.6811865791316e-91,"RPL19"
2571.87258464251,1.04975307156544,0.0537319617075154,19.5368461936987,5.33803029730232e-85,4.59975749835803e-82,"PSMB3"
3573.09810302228,0.740472990745053,0.0382568181529809,19.3553208681406,1.83846194202738e-83,1.51818655121003e-80,"SMARCE1"
9256.47402449739,0.986919156211502,0.0516399043319398,19.1115605069214,2.02327182073349e-81,1.60396896860468e-78,"LASP1"
165.000595663708,3.30959026366863,0.17935910423839,18.4523126256796,4.99606041407683e-76,3.80834312871495e-73,"PNMT"
1494.10006962099,0.753878937413888,0.0419312860905602,17.9789128286147,2.85026632533201e-72,2.09220104821315e-69,"PSMD11"
83.659946856236,1.28868741180948,0.0732300836069162,17.5977869795545,2.56139021794331e-69,1.81300688319352e-66,"RPL19P12"
647.538831339565,0.657428840756472,0.0382005784023251,17.2099184947539,2.23746457201149e-66,1.52911415009296e-63,"DDX52"
1293.12564963062,0.96700162108711,0.0572408381481326,16.893561526556,5.01803151222244e-64,3.31507888469122e-61,"PCGF2"
3473.84399003637,0.666792649247565,0.040304505436279,16.5438737438859,1.77248651977731e-61,1.13319065598279e-58,"UBE2Z"
3534.06274345668,1.26359802994377,0.0773736914020521,16.3311069569864,5.9298586006027e-60,3.67262086266703e-57,"TOP2A"
1176.18265029556,0.982361099971897,0.061351795475152,16.0119372605772,1.05473958783327e-57,6.3345102700811e-55,"CISD3"
3456.25158198128,2.50463600775949,0.159797831491419,15.6737797026612,2.28572786675589e-55,1.33237766444809e-52,"PPP1R1B"
1161.08260401453,0.745342144242842,0.0475747620451153,15.6667550651337,2.55284178047904e-55,1.4455648927804e-52,"SLC35B1"
108.461049763465,1.13078959382459,0.0726985568435519,15.5544985061817,1.48312379790221e-54,8.1650084862844e-52,"EME1"
471.240004095134,1.45859593643982,0.0963692920909242,15.1354846008793,9.44821544389363e-52,5.06092383466292e-49,"RAPGEFL1"
4714.98160302584,0.767370822164961,0.0510316940394275,15.0371418509463,4.19264982145073e-51,2.18668754766663e-48,"LRRC59"
1279.20144999712,0.575818397896473,0.0383809444464589,15.0027157017914,7.04757373837424e-51,3.58143240822664e-48,"ERAL1"
3217.32244132438,0.630726772441555,0.0420558187237006,14.9973723394929,7.63839270063468e-51,3.78463262334697e-48,"NUFIP2"
1357.94626914495,0.565971630826498,0.0377481614919404,14.9933561915946,8.11469241791718e-51,3.92256314709026e-48,"AATF"
986.695206265972,0.683683974419021,0.0456617966543343,14.9727786577168,1.1060191265679e-50,5.2190935879641e-48,"UTP18"
7.23234476312632,2.13934623769949,0.143810721644896,14.876124764759,4.71002351146847e-50,2.17088269706497e-47,"TEX19"
13276.3345288694,0.856692481217674,0.0579313166929916,14.7880719811313,1.74892134680365e-49,7.87769822097762e-47,"RPL23"
